Inventory Item Name,Description,Organization Code,Source System Code,Unit of Measure Code,Base Item Name,Lifecycle Phase,Back-to-Back Enabled,Ship Model Complete Indicator,Carrying Cost,Item Material Cost,List Price,Average Discount,Safety Stock Planning Method,Days of Cover,Demand Period Days,Unit Weight,Unit Volume,Weight Unit Of Measure,Volume Unit Of Measure,Lot Expiration Control,Lot Control Code,Shrinkage Rate,Fixed Days of Supply,Fixed Order Quantity,Fixed Lot Multiplier,Minimum Order Quantity,Maximum Order Quantity,Rounding Control,Planning Time Fence Days,Planning Time Fence Type,Demand Time Fence Days,Demand Time Fence Type,Release Time Fence Type,Release Time Fence Days,Planning Method,Fixed Lead Time,Variable Lead Time,Preprocessing Lead Time,Postprocessing Lead Time,Cumulative Manufacturing Lead Time,ATP Components Indicator,Build In WIP Indicator,Purchasing Enabled Indicator,Planning Make or Buy Code,Planner Name,Item Structure Type,Work Order Supply Type,Assemble-to-Order Forecast Control,Effectivity Control Code,Acceptable Early Days,Calculate ATP,Inventory Item Indicator,Available-to-Promise Indicator,Processing Lead Time,Cumulative Total Lead Time,Pick Components Indicator,Order Cost,Resource Cost,Minimum Shelf Life Days,Assemble-to-Order Indicator,Customer Order Indicator,Shippable Item Indicator,Delete Indicator,Buyer Name,ABC Class,Source Organization Code,Autocreated Configuration Indicator,Apply Order Modifier to Start Quantity,Global Character Attribute 1,Global Character Attribute 2,Global Character Attribute 3,Global Character Attribute 4,Global Character Attribute 5,Global Character Attribute 6,Global Character Attribute 7,Global Character Attribute 8,Global Character Attribute 9,Global Character Attribute 10,Global Character Attribute 11,Global Character Attribute 12,Global Character Attribute 13,Global Character Attribute 14,Global Character Attribute 15,Global Character Attribute 16,Global Character Attribute 17,Global Character Attribute 18,Global Character Attribute 19,Global Character Attribute 20,Global Number Attribute 1,Global Number Attribute 2,Global Number Attribute 3,Global Number Attribute 4,Global Number Attribute 5,Global Date Attribute 1,Global Date Attribute 2,Global Date Attribute 3,Global Date Attribute 4,Global Date Attribute 5,Enforce Purchasing Lead Time,Create Supply Indicator,Order Management Indivisible Indicator,Hard Pegging Level,Allow Use of Common Supplies,Lead Time Lot Size,Critical Component Indicator,Create Supply After
ITM01017C,Aluminum Heat Sink 40x40 — Plano warehouse stock,M2,,,A,,,,205.79,,310.42,,196,,,37.613,,,,,HS-82302450,,,,,,,,,,,,,,,,,,,,,,,BUY,Tier One Mfg,FG,,50,,22,,COMPONENTS,,,,,,,,,,Aluminum Heat Sink 40x40,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01018A,"Display Module 3.5"" TFT — Plano warehouse stock",M1,,,X,,,,172.4,Carbon Steel,387.27,,171,,,-19.863,,,,,9427.48.87,,,,,,,,,,,,,,,,,,,,,,,MAKE,,SUBASM,,100,,23,,Finished Goods,,,,,,,,,,"Display Module 3.5"" TFT",,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01019D,Sensor Bracket Stainless — Plano warehouse stock,PLANO_PLANT,,,Active,,,,72.42,Carbon Steel,158.39,,170,,,46.734,,,,,80963012,,,,,,,,,,,,,,,,,,,,,,,BUY,Toyo Industries,RM,,100,,31,,RAW MATERIAL,,,,,,,,,,Sensor Bracket Stainless,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01020A,LED Driver Module 24V — Plano warehouse stock,PLANO_PLANT,,,A,,,,149.3,Brass,290.12,,97,,,15.345,,,,,95225164,,,,,,,,,,,,,,,,,,,,,,,B,Acme Components,FG,,10,,25,,PACKAGING,,,,,,,,,,LED Driver Module 24V,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01021C,HEX BOLT M8X40   — Plano warehouse stock,M1,,,X,,,,133.75,Stainless Steel,251.37,,138,,,43.43,,,,,81723916,,,,,,,,,,,,,,,,,,,,,,,BUY,Toyo Industries,FG,,50,,77,,PACKAGING,,,,,,,,,,HEX BOLT M8X40,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01022D,,PLANO_PLANT,,,ACT,,,,57.0,Plastic ABS,85.45,,43,,,10.429,,,,,80089782,,,,,,,,,,,,,,,,,,,,,,,MAKE,Acme Components,SUBASM,,5,,70,,,,,,,,,,,,led driver module 24v,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01023B,Servo Driver 400W — Plano warehouse stock,M-1,,,Active,,,,71.27,Aluminum 6061,158.75,,118,,,28.482,,,,,HS-82699180,,,,,,,,,,,,,,,,,,,,,,,MAKE,,SUBASM,,50,,61,,PACKAGING,,,,,,,,,,Servo Driver 400W,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01024D,Stainless Steel Washer — Plano warehouse stock,M-1,,,A,,,,27.22,,51.77,,38,,,16.087,,,,,98458179,,,,,,,,,,,,,,,,,,,,,,,MAKE,Toyo Industries,COMP,,10,,27,,PACKAGING,,,,,,,,,,Stainless Steel Washer,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01025A,Gear Reducer 1:10 — Plano warehouse stock,DALLAS_DC,,,I,,,,133.95,Aluminum 6061,346.22,,5,,,27.564,,,,,HS-96722706,,,,,,,,,,,,,,,,,,,,,,,MAKE,GlobalParts SA,raw,,10,,65,,COMPONENTS,,,,,,,,,,Gear Reducer 1:10,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01026B,,DALLAS_DC,,,Inactive,,,,114.73,Aluminum 6061,184.75,,121,,,27.194,,,,,93783325,,,,,,,,,,,,,,,,,,,,,,,M,Tier One Mfg,raw,,50,,13,,Finished Goods,,,,,,,,,,O-Ring Buna-N 25mm,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01006B,,PLANO_PLANT,,,I,,,,182.04,Plastic ABS,406.14,,19,,,16.961,,,,,9954.50.80,,,,,,,,,,,,,,,,,,,,,,,MAKE,GlobalParts SA,RM,,10,,6,,RAW MATERIAL,,,,,,,,,,Stainless Steel Washer,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01028B,,DALLAS_DC,,,Active,,,,42.48,Carbon Steel,104.13,,128,,,39.636,,,,,84802233,,,,,,,,,,,,,,,,,,,,,,,M,Toyo Industries,SUBASM,,5,,39,,RAW MATERIAL,,,,,,,,,,CABLE HARNESS 12-PIN,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01029C,,M-1,,,Active,,,,72.51,,150.96,,98,,,32.929,,,,,9864.87.95,,,,,,,,,,,,,,,,,,,,,,,BUY,Acme Components,COMP,,1,,57,,COMPONENTS,,,,,,,,,,Solenoid Valve 24VDC,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01030C,,DALLAS_DC,,,X,,,,245.58,Carbon Steel,384.56,,11,,,26.566,,,,,9528.53.14,,,,,,,,,,,,,,,,,,,,,,,MAKE,GlobalParts SA,RM,,5,,87,,PACKAGING,,,,,,,,,,Coupling Flexible Jaw,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01031A,Gear Reducer 1:10 — Plano warehouse stock,M-1,,,Inactive,,,,29.6,Carbon Steel,44.58,,118,,,32.48,,,,,84552130,,,,,,,,,,,,,,,,,,,,,,,BUY,GlobalParts SA,raw,,10,,89,,PACKAGING,,,,,,,,,,Gear Reducer 1:10,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01032C,,M2,,,X,,,,254.83,Plastic ABS,356.22,,174,,,48.412,,,,,9309.86.02,,,,,,,,,,,,,,,,,,,,,,,M,Acme Components,FINISHED,,5,,33,,Finished Goods,,,,,,,,,,Mounting Plate Steel,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01033B,"display module 3.5"" tft — Plano warehouse stock",DALLAS_DC,,,ACT,,,,140.66,Stainless Steel,254.86,,75,,,-37.099,,,,,HS-87433976,,,,,,,,,,,,,,,,,,,,,,,MAKE,,raw,,1,,19,,ELECTRONICS,,,,,,,,,,"display module 3.5"" tft",,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01034D,Connector RJ45 Shielded — Plano warehouse stock,M1,,,Active,,,,28.07,Stainless Steel,62.19,,194,,,30.291,,,,,95151668,,,,,,,,,,,,,,,,,,,,,,,MAKE,,SUBASM,,1,,56,,RAW MATERIAL,,,,,,,,,,Connector RJ45 Shielded,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01035C,LINEAR SLIDE 200MM   — Plano warehouse stock,PLANO_PLANT,,,A,,,,219.44,,393.28,,12,,,21.176,,,,,HS-85191883,,,,,,,,,,,,,,,,,,,,,,,B,GlobalParts SA,FG,,100,,85,,ELECTRONICS,,,,,,,,,,LINEAR SLIDE 200MM,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01036C,Industrial Bearing 6203 ZZ — Plano warehouse stock,M-1,,,A,,,,203.55,Carbon Steel,278.81,,60,,,3.526,,,,,8440.58.53,,,,,,,,,,,,,,,,,,,,,,,MAKE,GlobalParts SA,raw,,25,,57,,,,,,,,,,,,Industrial Bearing 6203 ZZ,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01037A,LED Driver Module 24V — Plano warehouse stock,DALLAS_DC,,,I,,,,77.16,Carbon Steel,194.88,,24,,,26.37,,,,,84604835,,,,,,,,,,,,,,,,,,,,,,,MAKE,Toyo Industries,FG,,25,,3,,COMPONENTS,,,,,,,,,,LED Driver Module 24V,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01038D,LED Driver Module 24V — Plano warehouse stock,PLANO_PLANT,,,I,,,,166.92,Aluminum 6061,374.54,,55,,,40.076,,,,,94618878,,,,,,,,,,,,,,,,,,,,,,,B,Tier One Mfg,SUBASM,,5,,14,,COMPONENTS,,,,,,,,,,LED Driver Module 24V,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01039B,Heat Shrink Tubing 6mm — Plano warehouse stock,M-1,,,A,,,,153.31,,345.37,,123,,,28.209,,,,,9769.90.40,,,,,,,,,,,,,,,,,,,,,,,MAKE,Acme Components,raw,,50,,77,,RAW MATERIAL,,,,,,,,,,Heat Shrink Tubing 6mm,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01040B,Shaft Coupling 12mm — Plano warehouse stock,PLANO_PLANT,,,Inactive,,,,121.88,Aluminum 6061,263.98,,69,,,47.888,,,,,88312899,,,,,,,,,,,,,,,,,,,,,,,BUY,,FINISHED,,25,,87,,COMPONENTS,,,,,,,,,,Shaft Coupling 12mm,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01014B,,M-1,,,A,,,,176.76,Carbon Steel,360.0,,80,,,48.386,,,,,HS-84288047,,,,,,,,,,,,,,,,,,,,,,,M,,raw,,5,,18,,COMPONENTS,,,,,,,,,,Stainless Steel Washer,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01042C,,M2,,,X,,,,49.38,Carbon Steel,97.79,,46,,,7.755,,,,,92223859,,,,,,,,,,,,,,,,,,,,,,,B,Tier One Mfg,raw,,50,,65,,Finished Goods,,,,,,,,,,PRESSURE SENSOR 0-10 BAR,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01043A,,DALLAS_DC,,,A,,,,211.55,Stainless Steel,477.2,,125,,,42.302,,,,,9854.75.18,,,,,,,,,,,,,,,,,,,,,,,BUY,Toyo Industries,COMP,,1,,18,,ELECTRONICS,,,,,,,,,,Gear Reducer 1:10,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01044A,pressure sensor 0-10 bar — Plano warehouse stock,M1,,,ACT,,,,155.06,Brass,344.83,,139,,,47.014,,,,,8249.16.30,,,,,,,,,,,,,,,,,,,,,,,MAKE,,SUBASM,,100,,86,,Finished Goods,,,,,,,,,,pressure sensor 0-10 bar,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01045D,,PLANO_PLANT,,,ACT,,,,61.82,,147.18,,56,,,49.053,,,,,HS-99525435,,,,,,,,,,,,,,,,,,,,,,,M,GlobalParts SA,RM,,5,,38,,ELECTRONICS,,,,,,,,,,Encoder 1024 PPR,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01046D,Plastic Enclosure ABS Black — Plano warehouse stock,DALLAS_DC,,,Active,,,,206.57,Brass,457.8,,174,,,14.341,,,,,93422503,,,,,,,,,,,,,,,,,,,,,,,MAKE,Toyo Industries,RM,,1,,14,,ELECTRONICS,,,,,,,,,,Plastic Enclosure ABS Black,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01047B,,DALLAS_DC,,,A,,,,237.71,Brass,428.43,,118,,,-36.354,,,,,HS-97216309,,,,,,,,,,,,,,,,,,,,,,,M,Tier One Mfg,FG,,10,,58,,COMPONENTS,,,,,,,,,,Solenoid Valve 24VDC,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01048D,Shaft Coupling 12mm — Plano warehouse stock,DALLAS_DC,,,A,,,,126.77,Plastic ABS,253.76,,56,,,36.797,,,,,9441.67.27,,,,,,,,,,,,,,,,,,,,,,,B,Toyo Industries,FG,,5,,66,,ELECTRONICS,,,,,,,,,,Shaft Coupling 12mm,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01049C,MOUNTING PLATE STEEL   — Plano warehouse stock,DALLAS_DC,,,Inactive,,,,37.0,Plastic ABS,50.32,,44,,,49.151,,,,,HS-93738309,,,,,,,,,,,,,,,,,,,,,,,MAKE,Tier One Mfg,COMP,,1,,8,,,,,,,,,,,,MOUNTING PLATE STEEL,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01050B,Brushless DC Motor 24V — Plano warehouse stock,M-1,,,Active,,,,237.07,,499.29,,12,,,9.855,,,,,HS-99857796,,,,,,,,,,,,,,,,,,,,,,,BUY,,raw,,50,,54,,RAW MATERIAL,,,,,,,,,,Brushless DC Motor 24V,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01051C,Power Supply 250W ATX — Plano warehouse stock,M2,,,Active,,,,120.58,Stainless Steel,180.18,,68,,,20.334,,,,,HS-90488528,,,,,,,,,,,,,,,,,,,,,,,B,,COMP,,50,,50,,PACKAGING,,,,,,,,,,Power Supply 250W ATX,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01052B,Heat Shrink Tubing 6mm — Plano warehouse stock,DALLAS_DC,,,Active,,,,225.42,Stainless Steel,329.81,,97,,,23.367,,,,,87219048,,,,,,,,,,,,,,,,,,,,,,,MAKE,Acme Components,COMP,,50,,73,,PACKAGING,,,,,,,,,,Heat Shrink Tubing 6mm,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01053D,Heat Shrink Tubing 6mm — Plano warehouse stock,M2,,,ACT,,,,148.83,Brass,231.28,,81,,,31.181,,,,,HS-86679274,,,,,,,,,,,,,,,,,,,,,,,MAKE,,FINISHED,,50,,51,,ELECTRONICS,,,,,,,,,,Heat Shrink Tubing 6mm,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01054C,,M-1,,,ACT,,,,211.34,Stainless Steel,430.51,,181,,,29.206,,,,,8971.43.83,,,,,,,,,,,,,,,,,,,,,,,B,,FINISHED,,5,,54,,COMPONENTS,,,,,,,,,,Power Supply 250W ATX,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01055A,,M2,,,Active,,,,104.37,,181.89,,144,,,23.945,,,,,8701.79.45,,,,,,,,,,,,,,,,,,,,,,,BUY,GlobalParts SA,COMP,,50,,16,,,,,,,,,,,,solenoid valve 24vdc,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01056C,,M-1,,,I,,,,110.42,Brass,215.26,,171,,,17.351,,,,,8555.81.89,,,,,,,,,,,,,,,,,,,,,,,B,GlobalParts SA,FINISHED,,25,,84,,Finished Goods,,,,,,,,,,HEX BOLT M8X40,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01057A,,M1,,,Active,,,,197.74,Carbon Steel,436.02,,33,,,26.781,,,,,9806.32.04,,,,,,,,,,,,,,,,,,,,,,,MAKE,Toyo Industries,COMP,,10,,60,,Finished Goods,,,,,,,,,,Filter Cartridge 5 micron,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01058B,Industrial Bearing 6203 ZZ — Plano warehouse stock,M2,,,Inactive,,,,160.55,Plastic ABS,283.4,,45,,,9.698,,,,,8671.21.51,,,,,,,,,,,,,,,,,,,,,,,BUY,,RM,,25,,16,,PACKAGING,,,,,,,,,,Industrial Bearing 6203 ZZ,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01059A,,M-1,,,A,,,,34.18,Brass,78.08,,88,,,10.995,,,,,HS-98036100,,,,,,,,,,,,,,,,,,,,,,,MAKE,Acme Components,RM,,5,,69,,RAW MATERIAL,,,,,,,,,,Gear Reducer 1:10,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM01060D,,M1,,,Inactive,,,,131.68,Aluminum 6061,189.22,,170,,,22.699,,,,,80730495,,,,,,,,,,,,,,,,,,,,,,,BUY,Toyo Industries,raw,,100,,18,,PACKAGING,,,,,,,,,,Stainless Steel Washer,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
